stopId,stopNumber,stopName
2114,6254,"Zollikerb., Langägerten/Spital"
2120,2166,"Scheuren, Station"
2121,421,"Zürich, Balgrist"
2137,2612,"Zürich, Sunnau"
2139,649,"Zürich, Dangelstrasse"
2141,2660,"Adliswil, Tiefacker"
2142,6592,"Adliswil, Moos"
2143,6593,"Adliswil, Eichenweg"
2144,6034,"Zürich, Garage 6 Hardau"
2145,2950,"Zürich, Wollishofen"
2146,2889,"Zürich, Widmerstrasse"
2158,148,"Adliswil, Badstrasse"
2160,6437,"Adliswil, Grüt"
2183,2771,"Zürich, Sihlcity Nord"
2187,6735,"Wallisellen, Glatt"
2198,944,"Zürich, Geeringstrasse"
2228,601,"Zürich, Börsenstrasse"
2244,1364,"Zürich, Kappeli"
2245,1548,"Zürich, Letzigrund"
2247,1386,"Zürich, Kernstrasse"
2248,1579,"Zürich, Lochergut"
2250,3019,"Zürich, Zypressenstrasse"
2251,6030,"Zürich, Depot 4 Elisabethenstr"
2253,883,"Zürich, Freihofstrasse"
2254,6425,"Zürich, Zentralwerkstätte"
2256,1608,"Zürich, Löwenplatz"
2257,6459,"Zürich, Oerlikerhus"
2258,1098,"Zürich, Haldenbach"
2260,2367,"Zürich, Seilbahn Rigiblick"
2262,1366,"Zürich, Sihlpost"
2274,1550,"Zürich, Letzistrasse"
2275,2388,"Zürich, Signaustrasse"
2276,465,"Zürich, Berninaplatz"
2287,1557,"Zürich, Limmatplatz"
2289,2395,"Zürich, Sihlquai/HB"
2290,648,"Zürich, Dammweg"
2292,1399,"Zürich, Kinkelstrasse"
2293,2924,"Zürich, Winkelriedstrasse"
2294,1667,"Zürich, Museum für Gestaltung"
2295,580,"Zürich, Burgwies"
2298,2014,"Zürich, Quellenstrasse"
2299,6031,"Zürich, Depot 5 Hard"
2300,6033,"Zürich, Depot 8 Oerlikon"
2301,6035,"Zürich, Garage 9 Hagenholz"
2302,1100,"Zürich, Haldenegg"
2308,1138,"Zürich, Hedwigsteig"
2312,894,"Zürich, Friedhof Enzenbühl"
2313,2151,"Zürich, Salersteig"
2315,1507,"Zürich, Langmauerstrasse"
2316,2575,"Zürich, Bahnhof Stettbach"
2320,705,"Zumikon, Dorfzentrum"
2324,1516,"Oberengstringen, Lanzrain"
2326,81,"Dübendorf, Alterszentrum"
